Name,seg1,seg2,seg3,seg4
S1,F17,F17,F17,F17
S2,F18,F18,F18,F18
S3,F19,F19,F19,F19
S4,F20,F20,F20,F20
S5,F21,F21,F21,F21
S6,F22,F22,F22,F22
S7,F23,F23,F23,F23
S8,F24,F24,F24,F24
S9,F25,F25,F25,F25
S10,F26,F26,F26,F26
S11,F27,F27,F27,F27
S12,F0,F0,F0,F0
S13,F1,F1,F1,F1
S14,F2,F2,F2,F2
S15,F3,F3,F3,F3
S16,F4,F4,F4,F4
S17,F5,F5,F5,F5
S18,F6,F6,F6,F6
S19,F7,F7,F7,F7
S20,F8,F8,F8,F8
S21,F9,F9,F9,F9
S22,F10,F10,F10,F10
S23,F11,F11,F11,F11
S24,F12,F12,F12,F12
S25,F13,F13,F13,F13
S26,F14,F14,F14,F14
S27,F15,F15,F15,F15
S28,F16,F16,F16,F16
S29,F28,F28,F28,F28
S30,F29,F29,F29,F29
S31,F30,F30,F30,F30
S32,F31,F31,F31,F31
S33,F32,F32,F32,F32
S34,F33,F33,F33,F33
S35,F34,F34,F34,F34
S36,F35,F35,F35,F35
S37,F36,F36,F36,F36
S38,F37,F37,F37,F37
S39,F38,F38,F38,F38
S40,F39,F39,F39,F39
S41,F40,F40,F40,F40
S42,F41,F41,F41,F41
S43,F42,F42,F42,F42
S44,F43,F43,F43,F43
S45,F44,F44,F44,F44
S46,F45,F45,F45,F45
S47,F46,F46,F46,F46
S48,F47,F47,F47,F47
S49,F48,F48,F48,F48
S50,F49,F49,F49,F49
S51,F50,F50,F50,F50
S52,F51,F51,F51,F51
S53,F52,F52,F52,F52
S54,F53,F53,F53,F53
S55,F54,F54,F54,F54
S56,F55,F55,F55,F55
S57,F56,F56,F56,F56
S58,F57,F57,F57,F57
S59,F58,F58,F58,F58
S60,F59,F59,F59,F59
S61,F60,F60,F60,F60
S62,F61,F61,F61,F61
S63,F62,F62,F62,F62
S64,F63,F63,F63,F63
S65,F64,F64,F64,F64
S66,F65,F65,F65,F65
S67,F66,F66,F66,F66
S68,F67,F67,F67,F67
S69,F68,F68,F68,F68
S70,F69,F69,F69,F69
S71,F70,F70,F70,F70
S72,F71,F71,F71,F71
S73,F72,F72,F72,F72
S74,F73,F73,F73,F73
S75,F74,F74,F74,F74
S76,F75,F75,F75,F75
S77,F76,F76,F76,F76
S78,F77,F77,F77,F77
S79,F78,F78,F78,F78
S80,F79,F79,F79,F79
S81,F80,F80,F80,F80
S82,F81,F81,F81,F81
S83,F82,F82,F82,F82
S84,F83,F83,F83,F83
S85,F84,F84,F84,F84
S86,F85,F85,F85,F85
S87,F86,F86,F86,F86
S88,F87,F87,F87,F87
S89,F88,F88,F88,F88
S90,F89,F89,F89,F89
S91,F90,F90,F90,F90
S92,F91,F91,F91,F91
S93,F92,F92,F92,F92
S94,F93,F93,F93,F93
S95,F94,F94,F94,F94
S96,F95,F95,F95,F95
S97,F96,F96,F96,F96
S98,F97,F97,F97,F97
S99,F98,F98,F98,F98
S100,F99,F99,F99,F99
S101,F100,F100,F100,F100
S102,F101,F101,F101,F101
S103,F102,F102,F102,F102
S104,F103,F103,F103,F103
S105,F104,F104,F104,F104
S106,F105,F105,F105,F105
S107,F106,F106,F106,F106
S108,F107,F107,F107,F107
S109,F108,F108,F108,F108
S110,F109,F109,F109,F109
S111,F110,F110,F110,F110
S112,F111,F111,F111,F111
S113,F112,F112,F112,F112
S114,F113,F113,F113,F113
S115,F114,F114,F114,F114
S116,F115,F115,F115,F115
S117,F116,F116,F116,F116
S118,F117,F117,F117,F117
S119,F118,F118,F118,F118
S120,F119,F119,F119,F119
S121,F120,F120,F120,F120
S122,F121,F121,F121,F121
S123,F122,F122,F122,F122
S124,F123,F123,F123,F123
S125,F124,F124,F124,F124
S126,F125,F125,F125,F125
S127,F126,F126,F126,F126
S128,F127,F127,F127,F127
S129,F128,F128,F128,F128
S130,F129,F129,F129,F129
S131,F130,F130,F130,F130
S132,F131,F131,F131,F131
S133,F132,F132,F132,F132
S134,F133,F133,F133,F133
S135,F134,F134,F134,F134
S136,F135,F135,F135,F135
S137,F136,F136,F136,F136
S138,F137,F137,F137,F137
S139,F138,F138,F138,F138
S140,F139,F139,F139,F139
S141,F140,F140,F140,F140
S142,F141,F141,F141,F141
S143,F142,F142,F142,F142
S144,F143,F143,F143,F143
S145,F144,F144,F144,F144
S146,F145,F145,F145,F145
S147,F146,F146,F146,F146
S148,F147,F147,F147,F147
S149,F148,F148,F148,F148
S150,F149,F149,F149,F149
S151,F150,F150,F150,F150
S152,F151,F151,F151,F151
S153,F152,F152,F152,F152
S154,F153,F153,F153,F153
S155,F154,F154,F154,F154
S156,F155,F155,F155,F155
